,title,id,language,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.street,address.postalCode,position.lat,position.lng,contacts,references,address.building,administrativeAreaType,address.countyCode,mapView.west,mapView.south,mapView.east,mapView.north
0,Arshitha PG,here:pds:place:356tdr1t-990041b3a7d0431688033eab1bed5fcb,en,place,"[{'lat': 12.9221, 'lng': 77.56989}]",256,"[{'id': '500-5100-0055', 'name': 'Hostel', 'primary': True}]","Arshitha PG, Yarab Nagar Main Road, Banashankari 2nd Stage-Karesandra, Banashankari, Bengaluru 560070, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Banashankari,Banashankari 2nd Stage-Karesandra,Yarab Nagar Main Road,560070,12.92209,77.56994,,,,,,,,,
1,Lakshmi PG (Sri LAKSHMI VENKATESHWARA LADIES PG),here:pds:place:356tdr1t-0ec7e9ef7c5b477a9b9dc3d1cd50f535,en,place,"[{'lat': 12.92186, 'lng': 77.57353}]",629,"[{'id': '500-5100-0055', 'name': 'Hostel', 'primary': True}, {'id': '500-5100-0000', 'name': 'Lodging'}]","Lakshmi PG, K R Main Road, Banashankari 2nd Stage-Karesandra, Banashankari, Bengaluru 560070, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Banashankari,Banashankari 2nd Stage-Karesandra,K R Main Road,560070,12.92186,77.57339,"[{'mobile': [{'value': '+918762085657'}, {'value': '+919742551618', 'categories': [{'id': '500-5100-0000'}]}]}]",,,,,,,,
2,Sapthagiri PG,here:pds:place:356tdr1m-66d6515b1c924e1c91af8027e6f45aa6,en,place,"[{'lat': 12.91406, 'lng': 77.56554}]",897,"[{'id': '500-5100-0055', 'name': 'Hostel', 'primary': True}]","Sapthagiri PG, 2nd Cross Road, 2nd Stage-Bendre Nagar, Banashankari, Bengaluru 560019, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Banashankari,2nd Stage-Bendre Nagar,2nd Cross Road,560019,12.91403,77.56568,,,,,,,,,
3,Balaji PG,here:pds:place:356tdr1t-cc461fc584a34b0ab2f69a8e9a02af0b,en,place,"[{'lat': 12.93056, 'lng': 77.56806}]",978,"[{'id': '500-5100-0055', 'name': 'Hostel', 'primary': True}]","Balaji PG, 3rd Cross Road, Thyagaraja NGR-Byrappa Block, Basavanagudi, Bengaluru 560028, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Basavanagudi,Thyagaraja NGR-Byrappa Block,3rd Cross Road,560028,12.93066,77.56817,,,,,,,,,
4,PG Accommodation,here:pds:place:356tdr1k-4f8f0e1a40004e65ba158f69e7cf0dc2,en,place,"[{'lat': 12.90744, 'lng': 77.56036}]",1785,"[{'id': '500-5100-0055', 'name': 'Hostel', 'primary': True}]","PG Accommodation, 50 Feet Road, Kumaraswamy Layout 2nd Stage, Bengaluru 560111, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Kumaraswamy Layout 2nd Stage,,50 Feet Road,560111,12.90743,77.56042,[{'mobile': [{'value': '+919342460371'}]}],,,,,,,,
5,Metro PG,here:pds:place:356tdr1m-4402243558e16755c3e6cd76b16aea88,en,place,"[{'lat': 12.90795, 'lng': 77.57267}]",1630,"[{'id': '500-5100-0055', 'name': 'Hostel', 'primary': True}, {'id': '500-5100-0000', 'name': 'Lodging'}]","Metro PG, 2nd Cross Road, 2nd Stage-Gangadhara Nagar, Banashankari, Bengaluru 560019, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Banashankari,2nd Stage-Gangadhara Nagar,2nd Cross Road,560019,12.90811,77.57274,"[{'phone': [{'value': '+919986000554'}], 'www': [{'value': 'https://metrobangalore.business.site', 'categories': [{'id': '500-5100-0055'}]}]}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '21376442'}]",,,,,,,
6,Karthik PG,here:pds:place:356tdr1t-33f13e956e714a689fd69c7f18e97284,en,place,"[{'lat': 12.93154, 'lng': 77.56748}]",1060,"[{'id': '500-5100-0055', 'name': 'Hostel', 'primary': True}]","Karthik PG, 3rd Main Road, Thyagaraja NGR-Byrappa Block, Basavanagudi, Bengaluru 560028, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Basavanagudi,Thyagaraja NGR-Byrappa Block,3rd Main Road,560028,12.93141,77.56744,,,,,,,,,
7,Cloud PG (Cloud 9 Boys PG),here:pds:place:356tdr1m-aa20e767a46e4cd48bb09013375bc578,en,place,"[{'lat': 12.91195, 'lng': 77.56708}]",1120,"[{'id': '500-5100-0055', 'name': 'Hostel', 'primary': True}]","Cloud PG, 2nd Cross Road, Teachers Colony, Kumaraswamy Layout, Bengaluru 560078, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Kumaraswamy Layout,Teachers Colony,2nd Cross Road,560078,12.91182,77.56705,,,,,,,,,
8,Aravind PG,here:pds:place:356tdr1m-9df64eb69f0f44e19f505015adcc2668,en,place,"[{'lat': 12.91248, 'lng': 77.57222}]",1172,"[{'id': '500-5100-0055', 'name': 'Hostel', 'primary': True}]","Aravind PG, Zoruballa Building, Banashankari 2nd Stage, Banashankari, Bengaluru 560070, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Banashankari,Banashankari 2nd Stage,,560070,12.91235,77.57222,,,Zoruballa Building,,,,,,
9,GRC PG,here:pds:place:356tdr1m-9866d9afb7c246158cd94ed4a323be22,en,place,"[{'lat': 12.91043, 'lng': 77.5641}]",1325,"[{'id': '500-5100-0055', 'name': 'Hostel', 'primary': True}]","GRC PG, 2nd Main Road, 1st Stage, Kumaraswamy Layout, Bengaluru 560078, India",IND,India,KA,Karnataka,Bengaluru,Bengaluru,Kumaraswamy Layout,1st Stage,2nd Main Road,560078,12.91049,77.564,,,,,,,,,
